Country of Destination,Commodity,Period,Value,Flags
"Australia","Total","Jan-15",525803725,
"Australia","Total","Feb-15",656892630,
"Australia","Total","Mar-15",752402976,
"Australia","Total","Apr-15",642286853,
"Australia","Total","May-15",666147862,
"Australia","Total","Jun-15",729663982,
"Australia","Total","Jul-15",698378106,
"Australia","Total","Aug-15",707360927,
"Australia","Total","Sep-15",731397914,
"Australia","Total","Oct-15",752679249,
"Australia","Total","Nov-15",724398762,
"Australia","Total","Dec-15",752109928,
"Australia","Total","Jan-16",581753277,
"Australia","Total","Feb-16",653269703,
"Australia","Total","Mar-16",728349682,
"Australia","Total","Apr-16",700490505,
"Australia","Total","May-16",681507030,
"Australia","Total","Jun-16",665501067,
"Australia","Total","Jul-16",733264929,
"Australia","Total","Aug-16",707072088,
"Australia","Total","Sep-16",685089189,
"China, People's Republic of","Total","Jan-15",589113296,
"China, People's Republic of","Total","Feb-15",739534359,
"China, People's Republic of","Total","Mar-15",778206342,
"China, People's Republic of","Total","Apr-15",731740475,
"China, People's Republic of","Total","May-15",660591155,
"China, People's Republic of","Total","Jun-15",698001489,
"China, People's Republic of","Total","Jul-15",695194312,
"China, People's Republic of","Total","Aug-15",620953082,
"China, People's Republic of","Total","Sep-15",571348393,
"China, People's Republic of","Total","Oct-15",678096991,
"China, People's Republic of","Total","Nov-15",802913951,
"China, People's Republic of","Total","Dec-15",1045728826,
"China, People's Republic of","Total","Jan-16",729688663,
"China, People's Republic of","Total","Feb-16",751946027,
"China, People's Republic of","Total","Mar-16",750042620,
"China, People's Republic of","Total","Apr-16",811437002,
"China, People's Republic of","Total","May-16",829203727,
"China, People's Republic of","Total","Jun-16",823356915,
"China, People's Republic of","Total","Jul-16",670959482,
"China, People's Republic of","Total","Aug-16",633547671,
"China, People's Republic of","Total","Sep-16",648416095,
"United Kingdom","Total","Jan-15",135654293,
"Japan","Total","Jan-15",205632839,
"Japan","Total","Feb-15",220493836,
"United Kingdom","Total","Feb-15",151783226,
"United Kingdom","Total","Mar-15",181776609,
"Japan","Total","Mar-15",248824788,
"Japan","Total","Apr-15",285936156,
"United Kingdom","Total","Apr-15",137063787,
"United Kingdom","Total","May-15",157546318,
"Japan","Total","May-15",290117871,
"Japan","Total","Jun-15",264031860,
"United Kingdom","Total","Jun-15",144370177,
"United Kingdom","Total","Jul-15",113248698,
"Japan","Total","Jul-15",273904307,
"Japan","Total","Aug-15",230033432,
"United Kingdom","Total","Aug-15",131743188,
"United Kingdom","Total","Sep-15",125742862,
"Japan","Total","Sep-15",253163027,
"Japan","Total","Oct-15",232054272,
"United Kingdom","Total","Oct-15",131271844,
"United Kingdom","Total","Nov-15",121211386,
"Japan","Total","Nov-15",239539555,
"Japan","Total","Dec-15",208771011,
"United Kingdom","Total","Dec-15",137542975,
"Japan","Total","Jan-16",205493515,
"United Kingdom","Total","Jan-16",117181820,
"United Kingdom","Total","Feb-16",161079941,
"Japan","Total","Feb-16",223363924,
"Japan","Total","Mar-16",256651630,
"United Kingdom","Total","Mar-16",168823212,
"United Kingdom","Total","Apr-16",140217287,
"Japan","Total","Apr-16",292016081,
"Japan","Total","May-16",284526566,
"United Kingdom","Total","May-16",139407826,
"United Kingdom","Total","Jun-16",131564442,
"Japan","Total","Jun-16",335194152,
"Japan","Total","Jul-16",242985962,
"United Kingdom","Total","Jul-16",98289886,
"United Kingdom","Total","Aug-16",115324551,
"Japan","Total","Aug-16",218297364,
"Japan","Total","Sep-16",206304355,
"United Kingdom","Total","Sep-16",94452644,
"United States of America","Total","Jan-15",498478427,
"United States of America","Total","Feb-15",483819050,
"United States of America","Total","Mar-15",602889102,
"United States of America","Total","Apr-15",478233845,
"United States of America","Total","May-15",586734202,
"United States of America","Total","Jun-15",500067045,
"United States of America","Total","Jul-15",478582786,
"United States of America","Total","Aug-15",382248486,
"United States of America","Total","Sep-15",411030904,
"United States of America","Total","Oct-15",395198071,
"United States of America","Total","Nov-15",473955743,
"United States of America","Total","Dec-15",466543484,
"United States of America","Total","Jan-16",453972852,
"United States of America","Total","Feb-16",463167651,
"United States of America","Total","Mar-16",513136824,
"United States of America","Total","Apr-16",515373433,
"United States of America","Total","May-16",568540044,
"United States of America","Total","Jun-16",523005157,
"United States of America","Total","Jul-16",436601561,
"United States of America","Total","Aug-16",318732070,
"United States of America","Total","Sep-16",334653775,
